strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bhutan/0845/2023,1.07,1.07,1.08
A/Busan/1301/2023,0.91,0.89,0.92
A/Finland/391/2023,0.92,0.91,0.92
A/Georgia/40/2023,1.09,1.07,1.10
A/Jeju/1047/2023,0.89,0.87,0.90
A/Ontario/RV00796/2023,1.14,1.14,1.15
A/SENDAI/45/2023,0.91,0.90,0.92
A/Saint-Petersburg/RII-MH144113/2023,1.06,1.05,1.07
A/Schleswig-Holstein/4/2023,0.91,0.90,0.92
A/Sydney/332/2023,1.00,1.00,1.01
A/TECPAN/017FLU/2023,0.94,0.93,0.95
A/Massachusetts/18/2022,1.00,1.00,1.00
