strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bhutan/0845/2023,1.03,1.03,1.04
A/Finland/391/2023,0.92,0.92,0.93
A/Georgia/40/2023,1.04,1.03,1.06
A/Jeju/1047/2023,0.90,0.89,0.91
A/Ontario/RV00796/2023,1.09,1.08,1.09
A/SENDAI/45/2023,0.92,0.91,0.92
A/Saint-Petersburg/RII-MH144113/2023,1.02,1.01,1.03
A/Schleswig-Holstein/4/2023,0.92,0.91,0.93
A/Sydney/332/2023,0.98,0.98,0.98
A/TECPAN/017FLU/2023,0.98,0.98,0.99
library strains insufficient counts,0.94,0.93,0.95
strain not in library,0.98,0.98,0.98
A/Singapore/NUH0526/2023,1.00,1.00,1.00
