strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bangkok/P3599/2023,1.06,1.05,1.08
A/Bangkok/P3755/2023,1.07,1.05,1.09
A/Bhutan/0845/2023,1.09,1.08,1.10
A/Catalonia/2041146NS/2023,0.97,0.95,0.98
A/EHIME/50/2023,0.93,0.91,0.95
A/Finland/391/2023,0.92,0.91,0.92
A/Georgia/40/2023,1.10,1.09,1.12
A/Jeju/1047/2023,0.88,0.86,0.90
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.04
A/Ontario/RV00796/2023,1.16,1.15,1.17
A/SENDAI/45/2023,0.90,0.89,0.91
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.08
A/Schleswig-Holstein/4/2023,0.90,0.88,0.91
A/Solwezi/13-NIC-001/2023,1.01,1.00,1.02
A/SouthDakota/22/2023,0.86,0.83,0.90
A/Sydney/332/2023,1.01,1.01,1.02
A/TECPAN/017FLU/2023,0.94,0.92,0.95
A/Massachusetts/18/2022,1.00,1.00,1.00
