strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bangkok/P3755/2023,0.98,0.98,0.98
A/Bhutan/0845/2023,1.00,1.00,1.00
A/Busan/1301/2023,0.98,0.97,0.98
A/Catalonia/2041146NS/2023,0.99,0.98,0.99
A/EHIME/50/2023,0.95,0.94,0.95
A/Finland/391/2023,0.99,0.99,1.00
A/Finland/399/2023,0.98,0.01,0.99
A/Georgia/40/2023,0.99,0.99,0.99
A/Jeju/1047/2023,1.02,1.02,1.02
A/Ontario/RV00796/2023,1.01,1.01,1.01
A/SENDAI/45/2023,1.00,1.00,1.01
A/Saint-Petersburg/RII-MH144113/2023,1.01,1.01,1.01
A/Schleswig-Holstein/4/2023,1.00,0.99,1.00
A/South_Dakota/22/2023,1.01,1.01,1.01
A/Sydney/332/2023,1.00,1.00,1.00
A/TECPAN/017FLU/2023,1.00,0.99,1.00
A/Singapore/NUH0526/2023,1.00,1.00,1.00
