strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bangkok/P3755/2023,0.11,0.11,0.11
A/Bhutan/0845/2023,451.99,451.99,451.99
A/Busan/1301/2023,71.60,71.60,71.60
A/Catalonia/2041146NS/2023,93.76,93.76,93.76
A/EHIME/50/2023,0.00,0.00,0.00
A/Finland/391/2023,0.06,0.06,0.06
A/Finland/399/2023,1.62,1.62,1.62
A/Jeju/1047/2023,0.01,0.01,0.01
A/Ontario/RV00796/2023,1.96,1.96,1.96
A/SENDAI/45/2023,46.94,46.94,46.94
A/Saint-Petersburg/RII-MH144113/2023,0.27,0.27,0.27
A/Schleswig-Holstein/4/2023,59.56,59.56,59.56
A/SouthSudan/631/2023,1.95,1.95,1.95
A/South_Africa/R06506/2023,0.10,0.10,0.10
A/South_Africa/R07073/2023,0.01,0.01,0.01
A/South_Dakota/22/2023,0.00,0.00,0.00
A/Sydney/332/2023,2.60,2.60,2.60
A/TECPAN/017FLU/2023,71.26,71.26,71.26
A/Singapore/NUH0526/2023,1.00,1.00,1.00
