variant,sequences,date
A/Bhutan/0845/2023,0.00,2022-07-01
A/Bhutan/0845/2023,0.00,2022-07-02
A/Bhutan/0845/2023,0.00,2022-07-03
A/Bhutan/0845/2023,0.00,2022-07-04
A/Bhutan/0845/2023,0.00,2022-07-05
A/Bhutan/0845/2023,0.00,2022-07-06
A/Bhutan/0845/2023,0.00,2022-07-07
A/Bhutan/0845/2023,0.00,2022-07-08
A/Bhutan/0845/2023,0.00,2022-07-09
A/Bhutan/0845/2023,0.00,2022-07-10
A/Bhutan/0845/2023,0.00,2022-07-11
A/Bhutan/0845/2023,0.00,2022-07-12
A/Bhutan/0845/2023,0.00,2022-07-13
A/Bhutan/0845/2023,0.00,2022-07-14
A/Bhutan/0845/2023,0.00,2022-07-15
A/Bhutan/0845/2023,0.00,2022-07-16
A/Bhutan/0845/2023,0.00,2022-07-17
A/Bhutan/0845/2023,0.00,2022-07-18
A/Bhutan/0845/2023,0.00,2022-07-19
A/Bhutan/0845/2023,0.00,2022-07-20
A/Bhutan/0845/2023,0.00,2022-07-21
A/Bhutan/0845/2023,0.00,2022-07-22
A/Bhutan/0845/2023,0.00,2022-07-23
A/Bhutan/0845/2023,0.00,2022-07-24
A/Bhutan/0845/2023,0.00,2022-07-25
A/Bhutan/0845/2023,0.00,2022-07-26
A/Bhutan/0845/2023,0.00,2022-07-27
A/Bhutan/0845/2023,0.00,2022-07-28
A/Bhutan/0845/2023,0.00,2022-07-29
A/Bhutan/0845/2023,0.00,2022-07-30
A/Bhutan/0845/2023,0.00,2022-07-31
A/Bhutan/0845/2023,0.00,2022-08-01
A/Bhutan/0845/2023,0.00,2022-08-02
A/Bhutan/0845/2023,0.00,2022-08-03
A/Bhutan/0845/2023,0.00,2022-08-04
A/Bhutan/0845/2023,0.00,2022-08-05
A/Bhutan/0845/2023,0.00,2022-08-06
A/Bhutan/0845/2023,0.00,2022-08-07
A/Bhutan/0845/2023,0.00,2022-08-08
A/Bhutan/0845/2023,0.00,2022-08-09
A/Bhutan/0845/2023,0.00,2022-08-10
A/Bhutan/0845/2023,0.00,2022-08-11
A/Bhutan/0845/2023,0.00,2022-08-12
A/Bhutan/0845/2023,0.00,2022-08-13
