strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bangkok/P3599/2023,1.06,1.04,1.07
A/Bhutan/0845/2023,1.08,1.07,1.09
A/Catalonia/2041146NS/2023,0.98,0.97,0.99
A/Finland/391/2023,0.92,0.91,0.92
A/Jeju/1047/2023,0.88,0.86,0.89
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03
A/Ontario/RV00796/2023,1.16,1.14,1.16
A/SENDAI/45/2023,0.90,0.89,0.91
A/Saint-Petersburg/RII-166/2023,1.07,1.06,1.07
A/Schleswig-Holstein/4/2023,0.90,0.89,0.91
A/SouthDakota/22/2023,0.86,0.83,0.89
A/Sydney/332/2023,1.00,1.00,1.01
A/TECPAN/017FLU/2023,0.94,0.92,0.95
A/Massachusetts/18/2022,1.00,1.00,1.00
