strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bhutan/0845/2023,0.03,0.03,0.03
A/Catalonia/2041146NS/2023,10.08,10.08,10.08
A/EHIME/50/2023,0.00,0.00,0.00
A/Finland/391/2023,0.00,0.00,0.00
A/Jeju/1047/2023,14.75,14.75,14.75
A/Ontario/RV00796/2023,41.38,41.38,41.38
A/SENDAI/45/2023,0.00,0.00,0.00
A/Schleswig-Holstein/4/2023,0.00,0.00,0.00
A/South_Dakota/22/2023,0.22,0.22,0.22
A/Sydney/332/2023,0.12,0.12,0.12
A/TECPAN/017FLU/2023,41.60,41.60,41.60
A/Singapore/NUH0526/2023,1.00,1.00,1.00
