strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bhutan/0845/2023,0.00,0.00,0.00
A/Catalonia/2041146NS/2023,8.68,8.68,8.68
A/EHIME/50/2023,0.00,0.00,0.00
A/Finland/391/2023,499.38,499.38,499.38
A/Jeju/1047/2023,3.39,3.39,3.39
A/Ontario/RV00796/2023,0.54,0.54,0.54
A/SENDAI/45/2023,0.00,0.00,0.00
A/Schleswig-Holstein/4/2023,0.00,0.00,0.00
A/South_Dakota/22/2023,0.06,0.06,0.06
A/Sydney/332/2023,0.10,0.10,0.10
A/TECPAN/017FLU/2023,37.45,37.45,37.45
A/Singapore/NUH0526/2023,1.00,1.00,1.00
