strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bangkok/P3599/2023,1.11,1.10,1.13
A/Bangkok/P3755/2023,1.13,1.11,1.15
A/Bhutan/0845/2023,1.14,1.13,1.16
A/Busan/1301/2023,0.96,0.94,0.98
A/Catalonia/2041146NS/2023,1.03,1.01,1.04
A/EHIME/50/2023,0.98,0.95,1.00
A/Finland/391/2023,0.97,0.96,0.98
A/Georgia/40/2023,1.16,1.14,1.18
A/Jeju/1047/2023,0.94,0.92,0.95
A/Malaysia/IMR-SARI1989/2023,1.07,1.06,1.09
A/Ontario/RV00796/2023,1.22,1.20,1.24
A/SENDAI/45/2023,0.96,0.95,0.97
A/Saint-Petersburg/RII-MH144113/2023,1.12,1.11,1.14
A/Schleswig-Holstein/4/2023,0.96,0.95,0.98
A/Solwezi/13-NIC-001/2023,1.06,1.05,1.07
A/South_Dakota/22/2023,1.06,1.05,1.08
A/Sydney/332/2023,0.92,0.88,0.95
A/Sydney/710/2023,1.06,1.05,1.07
A/TECPAN/017FLU/2023,1.10,1.08,1.12
A/Singapore/NUH0526/2023,1.00,1.00,1.00
