variant,sequences,date
A/Bhutan/0845/2023,0.00,2023-01-01
A/Bhutan/0845/2023,0.00,2023-01-02
A/Bhutan/0845/2023,0.00,2023-01-03
A/Bhutan/0845/2023,0.00,2023-01-04
A/Bhutan/0845/2023,0.00,2023-01-05
A/Bhutan/0845/2023,0.00,2023-01-06
A/Bhutan/0845/2023,0.00,2023-01-07
A/Bhutan/0845/2023,0.00,2023-01-08
A/Bhutan/0845/2023,1.00,2023-01-09
A/Bhutan/0845/2023,0.00,2023-01-10
A/Bhutan/0845/2023,0.00,2023-01-11
A/Bhutan/0845/2023,0.00,2023-01-12
A/Bhutan/0845/2023,0.00,2023-01-13
A/Bhutan/0845/2023,0.00,2023-01-14
A/Bhutan/0845/2023,0.00,2023-01-15
A/Bhutan/0845/2023,0.00,2023-01-16
A/Bhutan/0845/2023,0.00,2023-01-17
A/Bhutan/0845/2023,0.00,2023-01-18
A/Bhutan/0845/2023,0.00,2023-01-19
A/Bhutan/0845/2023,0.00,2023-01-20
A/Bhutan/0845/2023,0.00,2023-01-21
A/Bhutan/0845/2023,0.00,2023-01-22
A/Bhutan/0845/2023,0.00,2023-01-23
A/Bhutan/0845/2023,0.00,2023-01-24
A/Bhutan/0845/2023,0.00,2023-01-25
A/Bhutan/0845/2023,0.00,2023-01-26
A/Bhutan/0845/2023,0.00,2023-01-27
A/Bhutan/0845/2023,0.00,2023-01-28
A/Bhutan/0845/2023,0.00,2023-01-29
A/Bhutan/0845/2023,0.00,2023-01-30
A/Bhutan/0845/2023,0.00,2023-01-31
A/Bhutan/0845/2023,0.00,2023-02-01
A/Bhutan/0845/2023,0.00,2023-02-02
A/Bhutan/0845/2023,0.00,2023-02-03
A/Bhutan/0845/2023,0.00,2023-02-04
A/Bhutan/0845/2023,0.00,2023-02-05
A/Bhutan/0845/2023,0.00,2023-02-06
A/Bhutan/0845/2023,0.00,2023-02-07
A/Bhutan/0845/2023,0.00,2023-02-08
A/Bhutan/0845/2023,0.00,2023-02-09
A/Bhutan/0845/2023,0.00,2023-02-10
A/Bhutan/0845/2023,0.00,2023-02-11
A/Bhutan/0845/2023,0.00,2023-02-12
A/Bhutan/0845/2023,0.00,2023-02-13
A/Bhutan/0845/2023,0.00,2023-02-14
A/Bhutan/0845/2023,0.00,2023-02-15
A/Bhutan/0845/2023,0.00,2023-02-16
A/Bhutan/0845/2023,0.00,2023-02-17
A/Bhutan/0845/2023,0.00,2023-02-18
A/Bhutan/0845/2023,0.00,2023-02-19
A/Bhutan/0845/2023,0.00,2023-02-20
A/Bhutan/0845/2023,0.00,2023-02-21
A/Bhutan/0845/2023,0.00,2023-02-22
A/Bhutan/0845/2023,0.00,2023-02-23
A/Bhutan/0845/2023,0.00,2023-02-24
A/Bhutan/0845/2023,0.00,2023-02-25
A/Bhutan/0845/2023,0.00,2023-02-26
A/Bhutan/0845/2023,0.00,2023-02-27
A/Bhutan/0845/2023,0.00,2023-02-28
A/Bhutan/0845/2023,0.00,2023-03-01
A/Bhutan/0845/2023,0.00,2023-03-02
A/Bhutan/0845/2023,0.00,2023-03-03
A/Bhutan/0845/2023,0.00,2023-03-04
A/Bhutan/0845/2023,0.00,2023-03-05
A/Bhutan/0845/2023,2.00,2023-03-06
A/Bhutan/0845/2023,0.00,2023-03-07
A/Bhutan/0845/2023,0.00,2023-03-08
A/Bhutan/0845/2023,0.00,2023-03-09
A/Bhutan/0845/2023,0.00,2023-03-10
A/Bhutan/0845/2023,0.00,2023-03-11
A/Bhutan/0845/2023,0.00,2023-03-12
A/Bhutan/0845/2023,0.00,2023-03-13
