strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max
A/Bhutan/0845/2023,12.94,12.94,12.94
A/Busan/1301/2023,0.00,0.00,0.00
A/Catalonia/2041146NS/2023,0.02,0.02,0.02
A/EHIME/50/2023,71.91,71.91,71.91
A/Finland/391/2023,0.04,0.04,0.04
A/Jeju/1047/2023,12.97,12.97,12.97
A/Ontario/RV00796/2023,0.01,0.01,0.01
A/SENDAI/45/2023,2.34,2.34,2.34
A/Saint-Petersburg/RII-MH144113/2023,179.54,179.54,179.54
A/Schleswig-Holstein/4/2023,272.93,272.93,272.93
A/South_Africa/R06506/2023,0.28,0.28,0.28
A/South_Africa/R07073/2023,0.07,0.07,0.07
A/South_Dakota/22/2023,269.49,269.49,269.49
A/Sydney/332/2023,175.82,175.82,175.82
A/TECPAN/017FLU/2023,1.00,1.00,1.00
A/Singapore/NUH0526/2023,1.00,1.00,1.00
