strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.05,1.04,1.05,137.7,89.51,0.3333,233.2,23,10,8
A/Finland/391/2023,0.95,0.94,0.95,195.6,146.6,0.1368,225.3,11,6,6
A/Jeju/1047/2023,0.92,0.9,0.93,208.3,161.7,0.1368,317,11,3,3
A/Ontario/RV00796/2023,1.1,1.09,1.1,138.5,99.57,0.3789,249.1,23,10,9
A/SENDAI/45/2023,0.94,0.93,0.94,178.5,142.4,0.1789,213.2,16,6,5
A/Saint-Petersburg/RII-MH144113/2023,1.04,1.03,1.05,139.9,104.6,0.3263,270.3,26,10,9
A/Schleswig-Holstein/4/2023,0.94,0.93,0.95,206.1,159.6,0.1368,331.4,14,5,5
A/Sydney/332/2023,1,1,1.01,163.8,127,0.2553,288.6,21,9,8
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.2,308,20,8,7
