strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,187.1,132.9,0.5319,286,25,9,8
A/Bhutan/0845/2023,1.09,1.08,1.09,137.7,89.51,0.6129,233.2,23,10,8
A/Finland/391/2023,0.92,0.91,0.92,195.6,146.6,0.4947,225.3,11,6,6
A/Georgia/40/2023,1.1,1.09,1.12,148.9,113,0.5851,302.2,21,9,8
A/Jeju/1047/2023,0.88,0.87,0.9,208.3,161.7,0.4421,317,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03,176.2,143.4,0.5,335.4,23,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.17,138.5,99.57,0.6211,249.1,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.92,178.5,142.4,0.4947,213.2,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.08,139.9,104.6,0.6316,270.3,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,206.1,159.6,0.4421,331.4,14,5,5
A/SouthDakota/22/2023,0.87,0.83,0.9,157.1,117.2,0.5376,257.6,12,4,4
A/Sydney/332/2023,1.01,1.01,1.02,163.8,127,0.5213,288.6,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,150.7,121.8,0.5532,240,12,5,4
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.5263,308,20,8,7
