strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.05,1.04,1.07,187.1,132.9,0.5106,286,25,9,8
A/Bangkok/P3755/2023,1.07,1.05,1.09,129.8,85.41,0.6596,209.5,24,11,10
A/Bhutan/0845/2023,1.08,1.07,1.09,137.7,89.51,0.6129,233.2,23,10,8
A/Busan/1301/2023,0.91,0.89,0.92,196.4,143.5,0.4947,280,11,3,3
A/Catalonia/2041146NS/2023,0.97,0.96,0.98,137.4,100.1,0.617,208.4,14,6,5
A/EHIME/50/2023,0.92,0.9,0.94,144.2,111.7,0.5532,281.9,15,6,6
A/Finland/391/2023,0.92,0.91,0.92,195.6,146.6,0.4842,225.3,11,6,6
A/Georgia/40/2023,1.1,1.08,1.11,148.9,113,0.5851,302.2,21,9,8
A/Jeju/1047/2023,0.88,0.87,0.9,208.3,161.7,0.4316,317,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1,1.03,176.2,143.4,0.4787,335.4,23,9,8
A/Netherlands/01693/2023,1.04,1.03,1.06,164.3,116.8,0.5638,306.3,24,11,10
A/Oman/3011/2023,1,0.98,1.01,155.6,116.5,0.5532,246.9,21,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.16,138.5,99.57,0.6211,249.1,24,10,9
A/SENDAI/45/2023,0.91,0.9,0.92,178.5,142.4,0.4842,213.2,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.07,139.9,104.6,0.6211,270.3,26,10,9
A/Schleswig-Holstein/4/2023,0.91,0.9,0.92,206.1,159.6,0.4316,331.4,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,0.99,1.02,133.9,90.96,0.6105,204.9,25,10,9
A/SouthDakota/22/2023,0.86,0.84,0.89,157.1,117.2,0.5376,257.6,12,4,4
A/Sydney/332/2023,1,1,1.01,163.8,127,0.5213,288.6,21,9,8
A/Sydney/710/2023,1.04,1.03,1.05,129.6,86.75,0.5851,217.1,24,11,8
A/TECPAN/017FLU/2023,0.94,0.93,0.95,150.7,121.8,0.5319,240,12,5,4
A/Victoria/1033/2023,1.03,1.01,1.04,167.4,125.3,0.5426,298.6,20,9,8
A/Wisconsin/27/2023,1.02,1.01,1.04,186.4,146.8,0.4894,372.4,21,9,8
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.5158,308,20,8,7
