strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.08,1.07,1.09,137.7,89.51,0.3441,233.2,23,10,8
A/Finland/391/2023,0.92,0.91,0.92,195.6,146.6,0.1474,225.3,11,6,6
A/Jeju/1047/2023,0.88,0.86,0.9,208.3,161.7,0.1474,317,11,3,3
A/Ontario/RV00796/2023,1.14,1.13,1.15,138.5,99.57,0.3895,249.1,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,178.5,142.4,0.1895,213.2,16,6,5
A/Schleswig-Holstein/4/2023,0.9,0.88,0.91,206.1,159.6,0.1474,331.4,14,5,5
A/Sydney/332/2023,1.01,1.01,1.02,163.8,127,0.266,288.6,21,9,8
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.2316,308,20,8,7
