strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,187.1,132.9,0.5957,286,25,9,8
A/Bangkok/P3755/2023,1.07,1.05,1.09,129.8,85.41,0.7234,209.5,24,11,10
A/Bhutan/0845/2023,1.09,1.08,1.1,137.7,89.51,0.6989,233.2,23,10,8
A/Catalonia/2041146NS/2023,0.97,0.95,0.98,137.4,100.1,0.6809,208.4,14,6,5
A/EHIME/50/2023,0.93,0.91,0.95,144.2,111.7,0.6383,281.9,15,6,6
A/Finland/391/2023,0.92,0.91,0.92,195.6,146.6,0.5895,225.3,11,6,6
A/Georgia/40/2023,1.1,1.09,1.12,148.9,113,0.6596,302.2,21,9,8
A/Jeju/1047/2023,0.88,0.86,0.9,208.3,161.7,0.5368,317,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.04,176.2,143.4,0.6277,335.4,23,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.17,138.5,99.57,0.6947,249.1,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,178.5,142.4,0.6,213.2,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.08,139.9,104.6,0.6842,270.3,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.88,0.91,206.1,159.6,0.5579,331.4,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,1,1.02,133.9,90.96,0.6737,204.9,25,10,9
A/SouthDakota/22/2023,0.86,0.83,0.9,157.1,117.2,0.6344,257.6,12,4,4
A/Sydney/332/2023,1.01,1.01,1.02,163.8,127,0.6383,288.6,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,150.7,121.8,0.6277,240,12,5,4
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.5895,308,20,8,7
