strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,460.2,453.6,0.02564,599,25,9,8
A/Bhutan/0845/2023,1.09,1.08,1.09,372.2,363.7,0.02564,644.3,23,10,8
A/Finland/391/2023,0.92,0.91,0.92,400.5,396.8,0,496.1,11,6,6
A/Georgia/40/2023,1.1,1.09,1.12,402.4,384.8,0.02564,544.9,21,9,8
A/Jeju/1047/2023,0.88,0.87,0.9,503.8,425.9,0,609.4,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03,462.6,449.7,0,633.1,23,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.17,338.6,353.3,0.02564,541.8,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.92,374.6,365.1,0,551.3,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.08,366.8,369.8,0.02564,476.3,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,504.7,431.6,0,677,14,5,5
A/SouthDakota/22/2023,0.87,0.83,0.9,399,389.1,0,524.5,12,4,4
A/Sydney/332/2023,1.01,1.01,1.02,408,381.2,0.02564,614.9,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,383.2,375.2,0,464.5,12,5,4
A/Massachusetts/18/2022,1,1,1,470.9,442.2,0.02564,497.5,20,8,7
