strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.08,1.07,1.08,137.7,89.51,0.8817,233.2,23,10,8
A/Catalonia/2041146NS/2023,0.98,0.97,0.99,137.4,100.1,0.8723,208.4,14,6,5
A/Finland/391/2023,0.92,0.91,0.93,195.6,146.6,0.8632,225.3,11,6,6
A/Jeju/1047/2023,0.88,0.86,0.89,208.3,161.7,0.8421,317,11,3,3
A/Ontario/RV00796/2023,1.15,1.14,1.16,138.5,99.57,0.8947,249.1,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,178.5,142.4,0.8632,213.2,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.07,139.9,104.6,0.8737,270.3,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.92,206.1,159.6,0.8421,331.4,14,5,5
A/SouthDakota/22/2023,0.86,0.83,0.89,157.1,117.2,0.8495,257.6,12,4,4
A/Sydney/332/2023,1,1,1.01,163.8,127,0.8617,288.6,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,150.7,121.8,0.8723,240,12,5,4
A/Massachusetts/18/2022,1,1,1,178.7,134.5,0.8526,308,20,8,7
