strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.04,1.07,249.3,217.9,0.3929,361.4,25,9,8
A/Bangkok/P3755/2023,1.07,1.06,1.09,170.5,135.7,0.5214,317.1,24,11,10
A/Bhutan/0845/2023,1.08,1.08,1.09,191.1,156.6,0.4532,355.5,23,10,8
A/Catalonia/2041146NS/2023,0.98,0.96,0.99,174.8,145.3,0.4929,326.8,14,6,5
A/EHIME/50/2023,0.92,0.9,0.94,202,180.9,0.4214,413.9,15,6,6
A/Finland/391/2023,0.92,0.91,0.92,245.9,208.8,0.3546,403.7,11,6,6
A/Jeju/1047/2023,0.87,0.86,0.89,276.1,234.2,0.3191,452.7,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03,240.6,208.1,0.3714,409.4,23,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.17,185.2,150.8,0.4823,331,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,226.9,186.5,0.383,433.8,16,6,5
A/Saint-Petersburg/RII-166/2023,1.07,1.06,1.08,190.5,162.2,0.461,361,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,274.4,239,0.3191,458.1,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,1,1.02,182.9,155.8,0.4752,362.7,25,10,9
A/SouthDakota/22/2023,0.86,0.82,0.89,213.4,192.7,0.4029,393.9,12,4,4
A/Sydney/332/2023,1,1,1.01,220,178.3,0.4,414.7,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,204,180.8,0.4071,385.1,12,5,4
A/Massachusetts/18/2022,1,1,1,242.7,221.5,0.3759,425.9,20,8,7
