strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.05,1.04,1.05,372.2,363.7,0.02564,644.3,23,10,8
A/Finland/391/2023,0.95,0.94,0.95,400.5,396.8,0.02564,496.1,11,6,6
A/Jeju/1047/2023,0.92,0.9,0.93,503.8,425.9,0,609.4,11,3,3
A/Ontario/RV00796/2023,1.1,1.09,1.1,338.6,353.3,0.05128,541.8,24,10,9
A/SENDAI/45/2023,0.94,0.93,0.94,374.6,365.1,0,551.3,16,6,5
A/Saint-Petersburg/RII-MH144112/2023,1.04,1.03,1.05,366.8,369.8,0.02564,476.3,27,12,10
A/Schleswig-Holstein/4/2023,0.94,0.93,0.95,504.7,431.6,0,677,14,5,5
A/Sydney/332/2023,1,1,1.01,408,381.2,0.02564,614.9,21,9,8
A/Massachusetts/18/2022,1,1,1,470.9,442.2,0.02564,497.5,20,8,7
