strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.04,1.04,1.05,372.2,363.7,0.02564,644.3,23,10,8
A/Finland/391/2023,0.96,0.95,0.96,400.5,396.8,0.02564,496.1,11,6,6
A/Jeju/1047/2023,0.93,0.92,0.94,503.8,425.9,0,609.4,11,3,3
A/Ontario/RV00796/2023,1.09,1.08,1.09,338.6,353.3,0.05128,541.8,23,10,9
A/SENDAI/45/2023,0.95,0.94,0.96,374.6,365.1,0,551.3,16,6,5
A/Schleswig-Holstein/4/2023,0.94,0.93,0.96,504.7,431.6,0,677,14,5,5
A/Sydney/332/2023,1.01,1,1.01,408,381.2,0.02564,614.9,21,9,8
A/Massachusetts/18/2022,1,1,1,470.9,442.2,0.02564,497.5,20,8,7
