strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.04,1.04,1.05,191.1,156.6,0.2374,355.5,23,10,8
A/Finland/391/2023,0.96,0.95,0.96,245.9,208.8,0.1064,403.7,11,6,6
A/Jeju/1047/2023,0.93,0.92,0.94,276.1,234.2,0.09929,452.7,11,3,3
A/Ontario/RV00796/2023,1.09,1.08,1.09,185.2,150.8,0.2695,331,24,10,9
A/SENDAI/45/2023,0.95,0.94,0.96,226.9,186.5,0.1277,433.8,16,6,5
A/Schleswig-Holstein/4/2023,0.94,0.93,0.96,274.4,239,0.09929,458.1,14,5,5
A/Sydney/332/2023,1.01,1,1.01,220,178.3,0.1857,414.7,21,9,8
A/Massachusetts/18/2022,1,1,1,242.7,221.5,0.1631,425.9,20,8,7
