variant,date,sequences
A/Bangkok/P3599/2023,2023-12-03,2.0
A/Bangkok/P3755/2023,2023-10-11,2.0
A/Bangkok/P3755/2023,2023-10-19,2.0
A/Bangkok/P3755/2023,2023-10-24,2.0
A/Bangkok/P3755/2023,2023-10-29,2.0
A/Bangkok/P3755/2023,2023-10-30,2.0
A/Bangkok/P3755/2023,2023-11-08,2.0
A/Bangkok/P3755/2023,2023-11-19,2.0
A/Bangkok/P3755/2023,2023-11-28,2.0
A/Bangkok/P3755/2023,2023-12-03,2.0
A/Bangkok/P3755/2023,2023-12-07,2.0
A/Bangkok/P3755/2023,2023-12-19,2.0
A/Bangkok/P3755/2023,2024-01-06,1.0
A/Bangkok/P3755/2023,2024-01-10,1.0
A/Bangkok/P3755/2023,2024-01-18,1.0
A/Bangkok/P3755/2023,2024-01-26,1.0
A/Bangkok/P3755/2023,2024-01-31,1.0
A/Bangkok/P3755/2023,2024-02-14,1.0
A/Bangkok/P3755/2023,2024-02-16,2.0
A/Bangkok/P3755/2023,2024-02-19,1.0
A/Bangkok/P3755/2023,2024-02-21,2.0
A/Bangkok/P3755/2023,2024-02-22,1.0
A/Bangkok/P3755/2023,2024-02-25,2.0
A/Bangkok/P3755/2023,2024-02-27,2.0
A/Bangkok/P3755/2023,2024-02-28,1.0
A/Bangkok/P3755/2023,2024-03-02,1.0
A/Bangkok/P3755/2023,2024-03-06,1.0
A/Bangkok/P3755/2023,2024-03-14,2.0
A/Bangkok/P3755/2023,2024-03-15,1.0
A/Bangkok/P3755/2023,2024-03-18,2.0
A/Bangkok/P3755/2023,2024-03-19,1.0
A/Bangkok/P3755/2023,2024-03-21,1.0
A/Bangkok/P3755/2023,2024-03-29,1.0
A/Bangkok/P3755/2023,2024-04-09,1.0
A/Bhutan/0006/2023,2022-05-18,1.0
A/Bhutan/0845/2023,2022-10-24,0.3333333333333333
A/Bhutan/0845/2023,2022-11-10,0.3333333333333333
A/Bhutan/0845/2023,2023-07-18,2.0
A/Bhutan/0845/2023,2023-08-02,1.0
A/Bhutan/0845/2023,2023-09-06,1.0
A/Bhutan/0845/2023,2023-09-11,1.0
A/Bhutan/0845/2023,2023-09-13,2.0
A/Bhutan/0845/2023,2023-09-16,2.0
A/Bhutan/0845/2023,2023-09-26,2.0
A/Bhutan/0845/2023,2023-09-28,1.0
A/Bhutan/0845/2023,2023-10-07,2.0
A/Bhutan/0845/2023,2023-10-15,2.0
A/Bhutan/0845/2023,2023-10-16,2.0
A/Bhutan/0845/2023,2023-10-17,1.0
A/Bhutan/0845/2023,2023-10-23,4.0
A/Bhutan/0845/2023,2023-10-24,1.0
A/Bhutan/0845/2023,2023-10-26,1.0
A/Bhutan/0845/2023,2023-10-27,4.0
A/Bhutan/0845/2023,2023-10-30,1.0
A/Bhutan/0845/2023,2023-11-01,3.0
A/Bhutan/0845/2023,2023-11-02,2.0
A/Bhutan/0845/2023,2023-11-03,3.0
A/Bhutan/0845/2023,2023-11-05,2.0
A/Bhutan/0845/2023,2023-11-06,2.0
A/Bhutan/0845/2023,2023-11-08,1.0
A/Bhutan/0845/2023,2023-11-21,2.0
A/Bhutan/0845/2023,2023-11-24,2.0
A/Bhutan/0845/2023,2023-11-26,1.0
A/Bhutan/0845/2023,2023-11-28,1.0
A/Bhutan/0845/2023,2023-12-01,2.0
A/Bhutan/0845/2023,2023-12-02,2.0
A/Bhutan/0845/2023,2023-12-05,3.0
A/Bhutan/0845/2023,2023-12-06,2.0
A/Bhutan/0845/2023,2023-12-07,1.0
A/Bhutan/0845/2023,2023-12-08,1.0
A/Bhutan/0845/2023,2023-12-10,2.0
A/Bhutan/0845/2023,2023-12-11,2.0
A/Bhutan/0845/2023,2023-12-12,2.0
A/Bhutan/0845/2023,2023-12-13,1.0
A/Bhutan/0845/2023,2023-12-18,2.0
A/Bhutan/0845/2023,2023-12-19,2.0
A/Bhutan/0845/2023,2023-12-20,1.0
A/Bhutan/0845/2023,2023-12-21,3.0
A/Bhutan/0845/2023,2023-12-22,1.0
A/Bhutan/0845/2023,2023-12-23,1.0
A/Bhutan/0845/2023,2023-12-25,1.0
A/Bhutan/0845/2023,2023-12-26,2.0
A/Bhutan/0845/2023,2023-12-27,1.0
A/Bhutan/0845/2023,2023-12-28,2.0
A/Bhutan/0845/2023,2023-12-29,1.0
A/Bhutan/0845/2023,2024-01-01,1.0
A/Bhutan/0845/2023,2024-01-03,1.0
A/Bhutan/0845/2023,2024-01-05,2.0
A/Bhutan/0845/2023,2024-01-08,1.0
A/Bhutan/0845/2023,2024-01-09,2.0
A/Bhutan/0845/2023,2024-01-10,2.0
A/Bhutan/0845/2023,2024-01-11,5.0
