variant,date,sequences
A/Abu_Dhabi/6753/2023,2022-07-14,0.5
A/Abu_Dhabi/6753/2023,2022-09-28,1.0
A/Abu_Dhabi/6753/2023,2022-12-01,1.0
A/Abu_Dhabi/6753/2023,2022-12-22,1.0
A/Abu_Dhabi/6753/2023,2023-04-02,0.5
A/Abu_Dhabi/6753/2023,2023-06-06,1.0
A/Abu_Dhabi/6753/2023,2023-08-15,0.5
A/Abu_Dhabi/6753/2023,2023-08-21,1.0
A/Abu_Dhabi/6753/2023,2023-10-31,0.5
A/Bangkok/P3599/2023,2022-04-28,1.0
A/Bangkok/P3599/2023,2022-11-03,1.0
A/Bangkok/P3599/2023,2023-06-26,1.0
A/Bangkok/P3599/2023,2023-06-30,1.0
A/Bangkok/P3599/2023,2023-07-27,1.0
A/Bangkok/P3599/2023,2023-08-05,1.0
A/Bangkok/P3599/2023,2023-08-16,1.0
A/Bangkok/P3599/2023,2023-08-21,1.0
A/Bangkok/P3599/2023,2023-08-23,1.0
A/Bangkok/P3599/2023,2023-08-28,1.0
A/Bangkok/P3599/2023,2023-08-29,1.0
A/Bangkok/P3599/2023,2023-09-01,1.0
A/Bangkok/P3599/2023,2023-09-02,1.0
A/Bangkok/P3599/2023,2023-09-04,1.0
A/Bangkok/P3599/2023,2023-09-12,1.0
A/Bangkok/P3599/2023,2023-09-18,0.5
A/Bangkok/P3599/2023,2023-09-19,3.0
A/Bangkok/P3599/2023,2023-09-20,2.0
A/Bangkok/P3599/2023,2023-09-21,1.0
A/Bangkok/P3599/2023,2023-09-24,1.0
A/Bangkok/P3599/2023,2023-09-25,4.0
A/Bangkok/P3599/2023,2023-09-26,1.0
A/Bangkok/P3599/2023,2023-09-27,2.0
A/Bangkok/P3599/2023,2023-10-02,2.0
A/Bangkok/P3599/2023,2023-10-04,1.0
A/Bangkok/P3599/2023,2023-10-05,1.0
A/Bangkok/P3599/2023,2023-10-12,1.0
A/Bangkok/P3599/2023,2023-10-16,2.0
A/Bangkok/P3599/2023,2023-10-17,2.0
A/Bangkok/P3599/2023,2023-10-18,2.0
A/Bangkok/P3599/2023,2023-10-19,2.0
A/Bangkok/P3599/2023,2023-10-22,0.5
A/Bangkok/P3599/2023,2023-10-25,1.0
A/Bangkok/P3599/2023,2023-10-26,1.0
A/Bangkok/P3599/2023,2023-10-31,1.0
A/Bangkok/P3599/2023,2023-11-01,1.0
A/Bangkok/P3599/2023,2023-11-03,1.0
A/Bangkok/P3599/2023,2023-11-06,1.0
A/Bangkok/P3599/2023,2023-11-08,1.0
A/Bangkok/P3599/2023,2023-11-10,1.0
A/Bangkok/P3599/2023,2023-11-16,1.0
A/Bangkok/P3599/2023,2023-11-17,1.0
A/Bangkok/P3599/2023,2023-11-20,0.5
A/Bangkok/P3599/2023,2023-11-21,1.0
A/Bangkok/P3599/2023,2023-11-22,1.0
A/Bangkok/P3599/2023,2023-11-27,1.0
A/Bangkok/P3599/2023,2023-11-29,2.0
A/Bangkok/P3599/2023,2023-12-03,1.0
A/Bangkok/P3599/2023,2023-12-06,1.0
A/Bangkok/P3599/2023,2023-12-07,1.0
A/Bangkok/P3599/2023,2023-12-14,1.0
A/Bangkok/P3599/2023,2024-01-10,1.0
A/Bangkok/P3599/2023,2024-01-18,1.0
A/Bangkok/P3599/2023,2024-01-25,1.0
A/Bangkok/P3755/2023,2023-08-08,1.0
A/Bangkok/P3755/2023,2023-08-09,1.0
A/Bangkok/P3755/2023,2023-08-11,1.0
A/Bangkok/P3755/2023,2023-09-05,1.0
A/Bangkok/P3755/2023,2023-09-07,4.0
A/Bangkok/P3755/2023,2023-09-11,1.0
A/Bangkok/P3755/2023,2023-09-18,1.0
A/Bangkok/P3755/2023,2023-09-19,3.0
A/Bangkok/P3755/2023,2023-09-21,1.0
A/Bangkok/P3755/2023,2023-09-28,1.0
A/Bangkok/P3755/2023,2023-10-11,1.0
A/Bangkok/P3755/2023,2023-10-12,2.0
A/Bangkok/P3755/2023,2023-10-17,1.0
A/Bangkok/P3755/2023,2023-10-18,1.0
A/Bangkok/P3755/2023,2023-10-19,1.0
A/Bangkok/P3755/2023,2023-10-23,1.0
A/Bangkok/P3755/2023,2023-10-24,1.0
A/Bangkok/P3755/2023,2023-10-29,1.0
A/Bangkok/P3755/2023,2023-10-30,2.0
A/Bangkok/P3755/2023,2023-11-01,1.0
A/Bangkok/P3755/2023,2023-11-07,1.0
A/Bangkok/P3755/2023,2023-11-08,2.0
A/Bangkok/P3755/2023,2023-11-09,2.0
A/Bangkok/P3755/2023,2023-11-10,1.0
A/Bangkok/P3755/2023,2023-11-13,1.0
A/Bangkok/P3755/2023,2023-11-14,1.0
A/Bangkok/P3755/2023,2023-11-19,1.0
A/Bangkok/P3755/2023,2023-11-21,0.5
A/Bangkok/P3755/2023,2023-11-27,1.0
A/Bangkok/P3755/2023,2023-11-28,1.0
A/Bangkok/P3755/2023,2023-12-01,1.0
A/Bangkok/P3755/2023,2023-12-03,1.0
A/Bangkok/P3755/2023,2023-12-05,1.0
A/Bangkok/P3755/2023,2023-12-07,1.0
A/Bangkok/P3755/2023,2023-12-08,1.0
A/Bangkok/P3755/2023,2023-12-11,1.0
A/Bangkok/P3755/2023,2023-12-12,2.0
A/Bangkok/P3755/2023,2023-12-19,1.0
A/Bangkok/P3755/2023,2023-12-21,2.5
A/Bangkok/P3755/2023,2023-12-22,1.0
A/Bangkok/P3755/2023,2023-12-26,0.5
A/Bangkok/P3755/2023,2023-12-30,1.0
A/Bangkok/P3755/2023,2024-01-03,0.5
A/Bangkok/P3755/2023,2024-01-10,1.0
A/Bangkok/P3755/2023,2024-01-17,2.0
A/Bangkok/P3755/2023,2024-01-19,3.0
A/Bangkok/P3755/2023,2024-01-22,1.0
A/Bangkok/P3755/2023,2024-01-23,0.5
A/Bangkok/P3755/2023,2024-01-25,1.0
A/Bangkok/P3755/2023,2024-01-26,1.0
A/Bangkok/P3755/2023,2024-01-27,1.0
A/Bangkok/P3755/2023,2024-01-28,1.5
A/Bangkok/P3755/2023,2024-01-29,2.0
A/Bangkok/P3755/2023,2024-01-30,1.0
A/Bangkok/P3755/2023,2024-01-31,1.0
A/Bangkok/P3755/2023,2024-02-01,2.5
A/Bangkok/P3755/2023,2024-02-02,0.5
A/Bangkok/P3755/2023,2024-02-04,1.0
A/Bangkok/P3755/2023,2024-02-05,0.5
A/Bangkok/P3755/2023,2024-02-06,0.5
A/Bangkok/P3755/2023,2024-02-08,1.0
A/Bangkok/P3755/2023,2024-02-09,1.0
A/Bangkok/P3755/2023,2024-02-11,1.0
A/Bangkok/P3755/2023,2024-02-12,1.0
A/Bangkok/P3755/2023,2024-02-14,2.0
A/Bangkok/P3755/2023,2024-02-15,2.0
A/Bangkok/P3755/2023,2024-02-16,2.0
A/Bangkok/P3755/2023,2024-02-17,1.0
A/Bangkok/P3755/2023,2024-02-19,1.0
A/Bangkok/P3755/2023,2024-02-20,0.5
A/Bangkok/P3755/2023,2024-02-21,2.0
A/Bangkok/P3755/2023,2024-02-22,1.5
A/Bangkok/P3755/2023,2024-02-23,1.0
A/Bangkok/P3755/2023,2024-02-25,1.0
A/Bangkok/P3755/2023,2024-02-27,1.0
A/Bangkok/P3755/2023,2024-02-28,1.0
A/Bangkok/P3755/2023,2024-03-02,1.0
A/Bangkok/P3755/2023,2024-03-04,1.0
A/Bangkok/P3755/2023,2024-03-06,1.0
A/Bangkok/P3755/2023,2024-03-08,0.5
A/Bangkok/P3755/2023,2024-03-12,0.5
A/Bangkok/P3755/2023,2024-03-14,1.0
A/Bangkok/P3755/2023,2024-03-15,2.0
A/Bangkok/P3755/2023,2024-03-16,0.5
