variant,date,sequences
A/Bangkok/P3755/2023,2023-10-24,2.0
A/Bangkok/P3755/2023,2023-10-29,2.0
A/Bangkok/P3755/2023,2023-10-30,2.0
A/Bangkok/P3755/2023,2023-11-08,2.0
A/Bangkok/P3755/2023,2023-12-07,2.0
A/Bangkok/P3755/2023,2024-01-31,1.0
A/Bangkok/P3755/2023,2024-02-16,2.0
A/Bangkok/P3755/2023,2024-02-21,2.0
A/Bangkok/P3755/2023,2024-02-25,2.0
A/Bangkok/P3755/2023,2024-02-27,2.0
A/Bangkok/P3755/2023,2024-03-14,1.0
A/Bangkok/P3755/2023,2024-03-15,1.0
A/Bangkok/P3755/2023,2024-03-18,2.0
A/Bangkok/P3755/2023,2024-03-19,1.0
A/Busan/1301/2023,2022-04-27,1.0
A/Busan/1301/2023,2022-05-14,1.0
A/Busan/1301/2023,2022-05-17,2.0
A/Busan/1301/2023,2022-05-21,2.0
A/Busan/1301/2023,2022-05-27,3.0
A/Busan/1301/2023,2022-06-06,1.0
A/Busan/1301/2023,2022-10-24,2.0
A/Catalonia/2041146NS/2023,2022-02-26,2.0
A/Catalonia/2041146NS/2023,2022-03-01,1.0
A/Catalonia/2041146NS/2023,2022-03-02,2.0
A/Catalonia/2041146NS/2023,2022-03-23,4.0
A/Catalonia/2041146NS/2023,2022-04-01,2.0
A/Catalonia/2041146NS/2023,2022-04-02,1.0
A/Catalonia/2041146NS/2023,2022-04-12,1.0
A/Catalonia/2041146NS/2023,2022-04-19,1.0
A/Catalonia/2041146NS/2023,2022-04-20,2.0
A/Catalonia/2041146NS/2023,2022-05-02,1.0
A/Catalonia/2041146NS/2023,2022-05-05,1.0
A/Catalonia/2041146NS/2023,2022-05-06,2.0
A/Catalonia/2041146NS/2023,2022-05-17,1.0
A/Catalonia/2041146NS/2023,2022-05-22,2.0
A/Catalonia/2041146NS/2023,2022-05-24,2.0
A/Catalonia/2041146NS/2023,2022-05-27,1.0
A/Catalonia/2041146NS/2023,2022-05-31,1.0
A/Catalonia/2041146NS/2023,2022-06-02,2.0
A/Catalonia/2041146NS/2023,2022-06-05,4.0
A/Catalonia/2041146NS/2023,2022-06-08,2.0
A/Catalonia/2041146NS/2023,2022-06-10,1.0
A/Catalonia/2041146NS/2023,2022-06-21,1.0
A/Catalonia/2041146NS/2023,2022-06-27,2.0
A/Catalonia/2041146NS/2023,2022-12-07,1.0
A/Catalonia/2041146NS/2023,2022-12-08,1.0
A/Catalonia/2041146NS/2023,2022-12-11,1.0
A/Catalonia/2041146NS/2023,2022-12-25,1.0
A/Catalonia/2041146NS/2023,2022-12-29,1.0
A/Catalonia/2041146NS/2023,2023-01-03,2.0
A/Catalonia/2041146NS/2023,2023-01-04,1.0
A/Catalonia/2041146NS/2023,2023-01-09,1.0
A/Catalonia/2041146NS/2023,2023-02-07,2.0
A/Catalonia/NSVH102124476/2023,2023-02-09,2.0
A/Catalonia/NSVH102124476/2023,2023-10-05,2.0
A/Darwin/9/2021,2023-11-19,1.0
A/EHIME/50/2023,2022-02,3.0
A/EHIME/50/2023,2022-10-10,1.0
A/EHIME/50/2023,2022-10-13,1.0
A/EHIME/50/2023,2022-10-17,1.0
A/EHIME/50/2023,2022-10-18,1.0
A/EHIME/50/2023,2022-10-26,1.0
A/EHIME/50/2023,2022-10-29,2.0
A/EHIME/50/2023,2022-10-30,2.0
A/EHIME/50/2023,2022-11-02,1.0
A/EHIME/50/2023,2022-11-03,1.0
A/EHIME/50/2023,2022-11-04,3.0
A/EHIME/50/2023,2022-11-05,1.0
A/EHIME/50/2023,2022-11-07,1.0
A/EHIME/50/2023,2022-11-08,2.0
A/EHIME/50/2023,2022-11-09,2.0
A/EHIME/50/2023,2022-11-10,1.0
A/EHIME/50/2023,2022-11-11,1.0
A/EHIME/50/2023,2022-11-13,2.0
A/EHIME/50/2023,2022-11-18,2.0
A/EHIME/50/2023,2022-11-19,2.0
A/EHIME/50/2023,2022-11-21,3.0
A/EHIME/50/2023,2022-11-22,1.0
A/EHIME/50/2023,2022-11-23,3.0
A/EHIME/50/2023,2022-11-26,1.0
A/EHIME/50/2023,2022-11-27,1.0
A/EHIME/50/2023,2022-11-30,2.0
A/EHIME/50/2023,2022-12-02,1.0
