variant,date,sequences
A/Bangkok/P3599/2023,2023-12-03,2.0
A/Bangkok/P3755/2023,2023-10-11,2.0
A/Bangkok/P3755/2023,2023-10-19,2.0
A/Bangkok/P3755/2023,2023-10-24,2.0
A/Bangkok/P3755/2023,2023-10-29,2.0
A/Bangkok/P3755/2023,2023-10-30,2.0
A/Bangkok/P3755/2023,2023-11-08,2.0
A/Bangkok/P3755/2023,2023-11-19,2.0
A/Bangkok/P3755/2023,2023-11-28,2.0
A/Bangkok/P3755/2023,2023-12-03,2.0
A/Bangkok/P3755/2023,2023-12-07,2.0
A/Bangkok/P3755/2023,2023-12-19,2.0
A/Bangkok/P3755/2023,2023-12-21,2.0
A/Bangkok/P3755/2023,2024-01-06,1.0
A/Bangkok/P3755/2023,2024-01-10,1.0
A/Bangkok/P3755/2023,2024-01-18,1.0
A/Bangkok/P3755/2023,2024-01-25,1.0
A/Bangkok/P3755/2023,2024-01-26,1.0
A/Bangkok/P3755/2023,2024-01-31,1.0
A/Bangkok/P3755/2023,2024-02-14,2.0
A/Bangkok/P3755/2023,2024-02-16,2.0
A/Bangkok/P3755/2023,2024-02-19,1.0
A/Bangkok/P3755/2023,2024-02-21,2.0
A/Bangkok/P3755/2023,2024-02-22,1.0
A/Bangkok/P3755/2023,2024-02-25,2.0
A/Bangkok/P3755/2023,2024-02-27,2.0
A/Bangkok/P3755/2023,2024-02-28,1.0
A/Bangkok/P3755/2023,2024-03-02,1.0
A/Bangkok/P3755/2023,2024-03-06,1.0
A/Bangkok/P3755/2023,2024-03-14,2.0
A/Bangkok/P3755/2023,2024-03-15,1.0
A/Bangkok/P3755/2023,2024-03-18,2.0
A/Bangkok/P3755/2023,2024-03-19,1.0
A/Bangkok/P3755/2023,2024-03-21,1.0
A/Bangkok/P3755/2023,2024-03-25,1.0
A/Bangkok/P3755/2023,2024-03-29,1.0
A/Bangkok/P3755/2023,2024-04-09,1.0
A/Bhutan/0006/2023,2022-05-18,1.0
A/Bhutan/0845/2023,2022-10-17,1.0
A/Bhutan/0845/2023,2022-10-26,1.0
A/Bhutan/0845/2023,2023-03-06,2.0
A/Bhutan/0845/2023,2023-05-21,1.0
A/Bhutan/0845/2023,2023-06-21,2.0
A/Bhutan/0845/2023,2023-06-28,0.5
A/Bhutan/0845/2023,2023-06-29,2.0
A/Bhutan/0845/2023,2023-07-18,2.0
A/Bhutan/0845/2023,2023-07-31,1.0
A/Bhutan/0845/2023,2023-08-02,1.0
A/Bhutan/0845/2023,2023-08-15,2.0
A/Bhutan/0845/2023,2023-09-06,1.0
A/Bhutan/0845/2023,2023-09-11,1.0
A/Bhutan/0845/2023,2023-09-13,2.0
A/Bhutan/0845/2023,2023-09-16,2.0
A/Bhutan/0845/2023,2023-09-26,2.0
A/Bhutan/0845/2023,2023-09-28,2.0
A/Bhutan/0845/2023,2023-10-05,2.0
A/Bhutan/0845/2023,2023-10-07,2.0
A/Bhutan/0845/2023,2023-10-08,2.0
A/Bhutan/0845/2023,2023-10-15,2.0
A/Bhutan/0845/2023,2023-10-16,3.0
A/Bhutan/0845/2023,2023-10-17,3.0
A/Bhutan/0845/2023,2023-10-22,1.0
A/Bhutan/0845/2023,2023-10-23,7.0
A/Bhutan/0845/2023,2023-10-24,1.0
A/Bhutan/0845/2023,2023-10-26,1.0
A/Bhutan/0845/2023,2023-10-27,4.0
A/Bhutan/0845/2023,2023-10-30,1.0
A/Bhutan/0845/2023,2023-11-01,3.0
A/Bhutan/0845/2023,2023-11-02,2.0
A/Bhutan/0845/2023,2023-11-03,5.0
A/Bhutan/0845/2023,2023-11-04,2.0
A/Bhutan/0845/2023,2023-11-05,2.0
A/Bhutan/0845/2023,2023-11-06,6.0
A/Bhutan/0845/2023,2023-11-08,1.0
A/Bhutan/0845/2023,2023-11-11,2.0
A/Bhutan/0845/2023,2023-11-13,2.0
A/Bhutan/0845/2023,2023-11-14,2.0
A/Bhutan/0845/2023,2023-11-15,3.0
A/Bhutan/0845/2023,2023-11-16,2.0
A/Bhutan/0845/2023,2023-11-17,1.0
A/Bhutan/0845/2023,2023-11-18,1.0
A/Bhutan/0845/2023,2023-11-20,2.5
A/Bhutan/0845/2023,2023-11-21,4.0
A/Bhutan/0845/2023,2023-11-24,2.0
A/Bhutan/0845/2023,2023-11-26,3.0
A/Bhutan/0845/2023,2023-11-28,1.0
A/Bhutan/0845/2023,2023-11-29,2.0
A/Bhutan/0845/2023,2023-12-01,7.0
A/Bhutan/0845/2023,2023-12-02,2.0
A/Bhutan/0845/2023,2023-12-03,2.0
A/Bhutan/0845/2023,2023-12-04,2.0
A/Bhutan/0845/2023,2023-12-05,3.5
A/Bhutan/0845/2023,2023-12-06,6.0
