variant,date,sequences
A/Abu_Dhabi/6753/2023,2022-01-01,5
A/Abu_Dhabi/6753/2023,2022-05-12,1
A/Abu_Dhabi/6753/2023,2022-05-15,1
A/Abu_Dhabi/6753/2023,2022-05-19,1
A/Abu_Dhabi/6753/2023,2022-05-22,1
A/Abu_Dhabi/6753/2023,2022-05-23,1
A/Abu_Dhabi/6753/2023,2022-05-27,1
A/Abu_Dhabi/6753/2023,2022-05-29,1
A/Abu_Dhabi/6753/2023,2022-05-31,1
A/Abu_Dhabi/6753/2023,2022-06-01,1
A/Abu_Dhabi/6753/2023,2022-06-03,1
A/Abu_Dhabi/6753/2023,2022-06-04,1
A/Abu_Dhabi/6753/2023,2022-06-09,1
A/Abu_Dhabi/6753/2023,2022-06-10,1
A/Abu_Dhabi/6753/2023,2022-06-13,2
A/Abu_Dhabi/6753/2023,2022-06-14,1
A/Abu_Dhabi/6753/2023,2022-06-16,1
A/Abu_Dhabi/6753/2023,2022-06-21,1
A/Abu_Dhabi/6753/2023,2022-06-23,1
A/Abu_Dhabi/6753/2023,2022-06-24,1
A/Abu_Dhabi/6753/2023,2022-06-27,1
A/Abu_Dhabi/6753/2023,2022-07-04,1
A/Abu_Dhabi/6753/2023,2022-07-05,2
A/Abu_Dhabi/6753/2023,2022-07-06,2
A/Abu_Dhabi/6753/2023,2022-07-07,1
A/Abu_Dhabi/6753/2023,2022-07-08,1
A/Abu_Dhabi/6753/2023,2022-07-11,4
A/Abu_Dhabi/6753/2023,2022-07-12,3
A/Abu_Dhabi/6753/2023,2022-07-13,1
A/Abu_Dhabi/6753/2023,2022-07-14,2
A/Abu_Dhabi/6753/2023,2022-07-18,3
A/Abu_Dhabi/6753/2023,2022-07-19,2
A/Abu_Dhabi/6753/2023,2022-07-20,5
A/Abu_Dhabi/6753/2023,2022-07-21,1
A/Abu_Dhabi/6753/2023,2022-07-22,2
A/Abu_Dhabi/6753/2023,2022-07-23,2
A/Abu_Dhabi/6753/2023,2022-07-25,1
A/Abu_Dhabi/6753/2023,2022-07-26,1
A/Abu_Dhabi/6753/2023,2022-07-27,1
A/Abu_Dhabi/6753/2023,2022-07-28,3
A/Abu_Dhabi/6753/2023,2022-07-29,1
A/Abu_Dhabi/6753/2023,2022-08-01,2
A/Abu_Dhabi/6753/2023,2022-08-03,1
A/Abu_Dhabi/6753/2023,2022-08-04,3
