variant,date,sequences
A/Bangkok/P3599/2023,2023-12-03,2
A/Bangkok/P3755/2023,2023-10-24,2
A/Bangkok/P3755/2023,2023-10-29,2
A/Bangkok/P3755/2023,2023-10-30,2
A/Bangkok/P3755/2023,2023-11-08,2
A/Bangkok/P3755/2023,2023-11-19,2
A/Bangkok/P3755/2023,2023-12-03,2
A/Bangkok/P3755/2023,2023-12-07,2
A/Bangkok/P3755/2023,2023-12-19,2
A/Bangkok/P3755/2023,2023-12-21,2
A/Bangkok/P3755/2023,2024-01-06,1
A/Bangkok/P3755/2023,2024-01-10,1
A/Bangkok/P3755/2023,2024-01-26,1
A/Bangkok/P3755/2023,2024-01-31,1
A/Bangkok/P3755/2023,2024-02-14,2
A/Bangkok/P3755/2023,2024-02-16,2
A/Bangkok/P3755/2023,2024-02-19,1
A/Bangkok/P3755/2023,2024-02-21,2
A/Bangkok/P3755/2023,2024-02-22,1
A/Bangkok/P3755/2023,2024-02-25,2
A/Bangkok/P3755/2023,2024-02-27,2
A/Bangkok/P3755/2023,2024-03-06,1
A/Bangkok/P3755/2023,2024-03-14,1
A/Bangkok/P3755/2023,2024-03-15,1
A/Bangkok/P3755/2023,2024-03-18,2
A/Bangkok/P3755/2023,2024-03-19,1
A/Bangkok/P3755/2023,2024-03-21,1
A/Bangkok/P3755/2023,2024-03-29,1
A/Bhutan/0845/2023,2023-03-06,2
A/Bhutan/0845/2023,2023-06-21,2
A/Bhutan/0845/2023,2023-08-02,1
A/Bhutan/0845/2023,2023-09-06,1
A/Bhutan/0845/2023,2023-09-11,1
A/Bhutan/0845/2023,2023-09-13,2
A/Bhutan/0845/2023,2023-09-16,2
A/Bhutan/0845/2023,2023-09-26,2
A/Bhutan/0845/2023,2023-09-28,1
A/Bhutan/0845/2023,2023-10-07,2
A/Bhutan/0845/2023,2023-10-15,2
A/Bhutan/0845/2023,2023-10-16,3
A/Bhutan/0845/2023,2023-10-17,1
A/Bhutan/0845/2023,2023-10-23,2
A/Bhutan/0845/2023,2023-10-24,1
A/Bhutan/0845/2023,2023-10-26,1
A/Bhutan/0845/2023,2023-10-27,4
A/Bhutan/0845/2023,2023-10-30,1
A/Bhutan/0845/2023,2023-11-01,3
A/Bhutan/0845/2023,2023-11-02,2
A/Bhutan/0845/2023,2023-11-03,3
A/Bhutan/0845/2023,2023-11-05,2
A/Bhutan/0845/2023,2023-11-06,2
A/Bhutan/0845/2023,2023-11-08,1
A/Bhutan/0845/2023,2023-11-21,2
A/Bhutan/0845/2023,2023-11-24,2
A/Bhutan/0845/2023,2023-11-26,1
A/Bhutan/0845/2023,2023-11-28,1
A/Bhutan/0845/2023,2023-11-29,1
A/Bhutan/0845/2023,2023-12-01,4
A/Bhutan/0845/2023,2023-12-02,2
A/Bhutan/0845/2023,2023-12-05,3
A/Bhutan/0845/2023,2023-12-06,2
A/Bhutan/0845/2023,2023-12-07,1
A/Bhutan/0845/2023,2023-12-08,1
A/Bhutan/0845/2023,2023-12-10,2
A/Bhutan/0845/2023,2023-12-11,2
A/Bhutan/0845/2023,2023-12-12,2
A/Bhutan/0845/2023,2023-12-13,1
A/Bhutan/0845/2023,2023-12-18,3
A/Bhutan/0845/2023,2023-12-19,2
A/Bhutan/0845/2023,2023-12-20,1
A/Bhutan/0845/2023,2023-12-21,3
A/Bhutan/0845/2023,2023-12-22,1
A/Bhutan/0845/2023,2023-12-23,1
A/Bhutan/0845/2023,2023-12-25,1
A/Bhutan/0845/2023,2023-12-26,2
A/Bhutan/0845/2023,2023-12-27,1
A/Bhutan/0845/2023,2023-12-28,2
A/Bhutan/0845/2023,2023-12-29,1
A/Bhutan/0845/2023,2024,2
A/Bhutan/0845/2023,2024-01-01,1
A/Bhutan/0845/2023,2024-01-03,1
A/Bhutan/0845/2023,2024-01-05,3
A/Bhutan/0845/2023,2024-01-08,1
A/Bhutan/0845/2023,2024-01-09,3
A/Bhutan/0845/2023,2024-01-10,2
A/Bhutan/0845/2023,2024-01-11,5
A/Bhutan/0845/2023,2024-01-13,1
A/Bhutan/0845/2023,2024-01-14,1
A/Bhutan/0845/2023,2024-01-16,1
A/Bhutan/0845/2023,2024-01-18,3
A/Bhutan/0845/2023,2024-01-19,2
A/Bhutan/0845/2023,2024-01-20,3
A/Bhutan/0845/2023,2024-01-21,2
A/Bhutan/0845/2023,2024-01-22,4
A/Bhutan/0845/2023,2024-01-23,8
A/Bhutan/0845/2023,2024-01-24,2
A/Bhutan/0845/2023,2024-01-27,1
A/Bhutan/0845/2023,2024-01-29,1
A/Bhutan/0845/2023,2024-01-30,4
A/Bhutan/0845/2023,2024-02-01,2
A/Bhutan/0845/2023,2024-02-04,2
A/Bhutan/0845/2023,2024-02-05,3
A/Bhutan/0845/2023,2024-02-06,1
A/Bhutan/0845/2023,2024-02-09,2
A/Bhutan/0845/2023,2024-02-10,1
A/Bhutan/0845/2023,2024-02-11,1
A/Bhutan/0845/2023,2024-02-12,1
A/Bhutan/0845/2023,2024-02-20,1
A/Bhutan/0845/2023,2024-02-25,2
A/Bhutan/0845/2023,2024-03-03,1
A/Bhutan/0845/2023,2024-03-11,3
A/Bhutan/0845/2023,2024-03-12,1
A/Bhutan/0845/2023,2024-03-13,1
A/Bhutan/0845/2023,2024-04-02,1
A/Bhutan/0845/2023,2024-04-11,3
A/Bhutan/0845/2023,2024-04-16,2
A/Bhutan/0845/2023,2024-05-03,2
A/Bhutan/FLU-BTG-00988/2022,2022-08-26,1
A/Busan/1301/2023,2022-04-27,1
A/Busan/1301/2023,2022-05-14,1
A/Busan/1301/2023,2022-05-17,2
A/Busan/1301/2023,2022-05-21,2
A/Busan/1301/2023,2022-05-27,3
A/Busan/1301/2023,2022-06-06,1
A/Busan/1301/2023,2022-10-24,2
A/Busan/1301/2023,2022-11-29,1
A/Busan/1301/2023,2022-12,2
A/Busan/1301/2023,2022-12-14,1
A/Busan/1301/2023,2022-12-20,1
A/Catalonia/2041146NS/2023,2022-02-26,2
A/Catalonia/2041146NS/2023,2022-03-01,2
A/Catalonia/2041146NS/2023,2022-03-02,2
A/Catalonia/2041146NS/2023,2022-03-14,1
A/Catalonia/2041146NS/2023,2022-03-23,4
A/Catalonia/2041146NS/2023,2022-03-24,1
A/Catalonia/2041146NS/2023,2022-04-01,2
A/Catalonia/2041146NS/2023,2022-04-02,1
A/Catalonia/2041146NS/2023,2022-04-03,3
A/Catalonia/2041146NS/2023,2022-04-11,2
A/Catalonia/2041146NS/2023,2022-04-12,1
A/Catalonia/2041146NS/2023,2022-04-19,1
A/Catalonia/2041146NS/2023,2022-04-20,2
A/Catalonia/2041146NS/2023,2022-04-21,2
A/Catalonia/2041146NS/2023,2022-04-29,1
A/Catalonia/2041146NS/2023,2022-05-02,1
A/Catalonia/2041146NS/2023,2022-05-05,1
A/Catalonia/2041146NS/2023,2022-05-06,2
A/Catalonia/2041146NS/2023,2022-05-12,1
A/Catalonia/2041146NS/2023,2022-05-17,1
A/Catalonia/2041146NS/2023,2022-05-22,2
A/Catalonia/2041146NS/2023,2022-05-23,2
A/Catalonia/2041146NS/2023,2022-05-24,2
A/Catalonia/2041146NS/2023,2022-05-27,1
A/Catalonia/2041146NS/2023,2022-05-31,1
A/Catalonia/2041146NS/2023,2022-06-02,2
A/Catalonia/2041146NS/2023,2022-06-05,4
A/Catalonia/2041146NS/2023,2022-06-08,2
A/Catalonia/2041146NS/2023,2022-06-10,1
A/Catalonia/2041146NS/2023,2022-06-14,2
A/Catalonia/2041146NS/2023,2022-06-21,1
A/Catalonia/2041146NS/2023,2022-06-27,2
A/Catalonia/2041146NS/2023,2022-11-22,2
A/Catalonia/2041146NS/2023,2022-12-07,1
A/Catalonia/2041146NS/2023,2022-12-08,1
A/Catalonia/2041146NS/2023,2022-12-11,1
A/Catalonia/2041146NS/2023,2022-12-25,1
A/Catalonia/2041146NS/2023,2022-12-29,1
A/Catalonia/2041146NS/2023,2023-01-03,2
A/Catalonia/2041146NS/2023,2023-01-04,1
A/Catalonia/2041146NS/2023,2023-01-05,2
A/Catalonia/2041146NS/2023,2023-01-09,1
A/Catalonia/2041146NS/2023,2023-02-07,2
A/Catalonia/2041146NS/2023,2023-03-23,2
A/Catalonia/NSVH102124476/2023,2023-02-09,2
A/Catalonia/NSVH102124476/2023,2023-10-05,2
A/Darwin/9/2021,2023-11-19,1
A/EHIME/50/2023,2022-02,3
A/EHIME/50/2023,2022-10-10,1
A/EHIME/50/2023,2022-10-13,1
A/EHIME/50/2023,2022-10-17,1
A/EHIME/50/2023,2022-10-18,1
A/EHIME/50/2023,2022-10-21,1
A/EHIME/50/2023,2022-10-22,1
A/EHIME/50/2023,2022-10-26,1
A/EHIME/50/2023,2022-10-29,3
A/EHIME/50/2023,2022-10-30,2
A/EHIME/50/2023,2022-11-02,1
A/EHIME/50/2023,2022-11-03,1
A/EHIME/50/2023,2022-11-04,3
A/EHIME/50/2023,2022-11-05,1
A/EHIME/50/2023,2022-11-07,1
A/EHIME/50/2023,2022-11-08,2
A/EHIME/50/2023,2022-11-09,2
A/EHIME/50/2023,2022-11-10,1
A/EHIME/50/2023,2022-11-11,1
A/EHIME/50/2023,2022-11-13,2
A/EHIME/50/2023,2022-11-18,2
A/EHIME/50/2023,2022-11-19,2
A/EHIME/50/2023,2022-11-21,3
A/EHIME/50/2023,2022-11-22,1
A/EHIME/50/2023,2022-11-23,3
A/EHIME/50/2023,2022-11-26,1
A/EHIME/50/2023,2022-11-27,1
A/EHIME/50/2023,2022-11-30,2
A/EHIME/50/2023,2022-12-02,1
A/EHIME/50/2023,2022-12-03,1
A/EHIME/50/2023,2022-12-06,1
A/EHIME/50/2023,2022-12-13,1
A/EHIME/50/2023,2022-12-14,2
A/EHIME/50/2023,2022-12-15,1
A/EHIME/50/2023,2022-12-20,2
A/EHIME/50/2023,2022-12-21,1
A/EHIME/50/2023,2022-12-22,2
A/EHIME/50/2023,2022-12-23,5
A/EHIME/50/2023,2022-12-26,3
A/EHIME/50/2023,2022-12-27,1
A/EHIME/50/2023,2022-12-28,1
A/EHIME/50/2023,2023-01-08,1
A/EHIME/50/2023,2023-02-12,1
A/EHIME/50/2023,2023-03-01,1
A/EHIME/50/2023,2023-03-04,1
A/EHIME/50/2023,2023-03-07,2
A/EHIME/50/2023,2023-03-09,1
A/EHIME/50/2023,2023-03-13,1
A/EHIME/50/2023,2023-03-15,1
A/EHIME/50/2023,2023-03-17,1
A/EHIME/50/2023,2023-03-18,1
A/EHIME/50/2023,2023-03-21,1
A/EHIME/50/2023,2023-03-22,1
A/EHIME/50/2023,2023-03-24,2
A/EHIME/50/2023,2023-03-27,1
A/EHIME/50/2023,2023-03-29,1
A/Finland/391/2023,2022-09-09,1
A/Finland/391/2023,2022-10-05,1
A/Finland/391/2023,2022-10-12,3
A/Finland/391/2023,2022-10-16,2
A/Finland/391/2023,2022-10-17,1
A/Finland/391/2023,2022-10-18,2
A/Finland/391/2023,2022-10-19,1
A/Finland/391/2023,2022-10-21,3
A/Finland/391/2023,2022-10-23,1
A/Finland/391/2023,2022-10-24,3
A/Finland/391/2023,2022-10-26,2
